order_id;barcode;pincode;telephone
UN2290001;229001229001;111;9852296756
UN2290002;229002229002;111;9852296756
UN2290003;229003229003;111;9852296756
UN2290004;229004229004;111;9852296756
UN2290005;229005229005;111;9852296756
UN2170001;217001217001;111;9852296756
UN2170002;217002217002;111;9852296756
UN2170003;217003217003;111;9852296756
UN2170004;217004217004;111;9852296756
UN2170005;217005217005;111;9852296756
UN2190001;219001219001;111;9852296756
UN2190002;219002219002;111;9852296756
UN2190003;219003219003;111;9852296756
UN2190004;219004219004;111;9852296756
UN2190005;219005219005;111;9852296756
UN2300001;230001230001;111;9852296756
UN2300002;230002230002;111;9852296756
UN2300003;230003230003;111;9852296756
UN2300004;230004230004;111;9852296756
UN2300005;230005230005;111;9852296756
UN2380001;238001238001;111;9852296756
UN2380002;238002238002;111;9852296756
UN2380003;238003238003;111;9852296756
UN2380004;238004238004;111;9852296756
UN2380005;238005238005;111;9852296756
UN2340001;234001234001;111;9852296756
UN2340002;234002234002;111;9852296756
UN2340003;234003234003;111;9852296756
UN2340004;234004234004;111;9852296756
UN2340005;234005234005;111;9852296756
UN2390001;239001239001;111;9852296756
UN2390002;239002239002;111;9852296756
UN2390003;239003239003;111;9852296756
UN2390004;239004239004;111;9852296756
UN2390005;239005239005;111;9852296756
